Viz_Date,Sex,AgeGroup,Dose,Viz_ages,NumberVaccinated,Viz_DateMMYY
20/02/2021,Total,82 to 100,Dose 3 and Booster,100,1,Feb
21/02/2021,Total,82 to 100,Dose 3 and Booster,100,1,Feb
22/02/2021,Total,82 to 100,Dose 3 and Booster,100,1,Feb
23/02/2021,Total,82 to 100,Dose 3 and Booster,100,1,Feb
24/02/2021,Total,82 to 100,Dose 3 and Booster,100,1,Feb
25/02/2021,Total,82 to 100,Dose 3 and Booster,100,1,Feb
26/02/2021,Total,82 to 100,Dose 3 and Booster,100,1,Feb
27/02/2021,Total,82 to 100,Dose 3 and Booster,100,1,Feb
28/02/2021,Total,82 to 100,Dose 3 and Booster,100,1,Feb
01/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
02/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
03/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
04/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
05/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
06/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
07/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
08/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
09/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
10/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
11/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
12/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
13/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
14/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
15/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
16/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
17/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
18/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
19/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
20/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
21/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
22/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
23/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
24/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
25/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
26/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
27/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
28/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
29/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
30/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
31/03/2021,Total,82 to 100,Dose 3 and Booster,100,1,Mar
01/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
02/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
03/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
04/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
05/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
06/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
07/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
08/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
09/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
10/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
11/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
12/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
13/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
14/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
15/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
16/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
17/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
18/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
19/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
20/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
21/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
22/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
23/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
24/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
25/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
26/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
27/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
28/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
29/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
30/04/2021,Total,82 to 100,Dose 3 and Booster,100,1,Apr
01/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
02/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
03/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
04/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
05/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
06/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
07/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
08/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
09/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
10/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
11/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
12/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
13/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
14/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
15/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
16/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
17/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
18/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
19/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
20/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
21/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
22/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
23/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
24/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
25/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
26/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
27/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
28/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
29/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
30/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
31/05/2021,Total,82 to 100,Dose 3 and Booster,100,1,May
01/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
02/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
03/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
04/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
05/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
06/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
07/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
08/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
09/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
10/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
11/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
12/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
13/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
14/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
15/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
16/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
17/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
18/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
19/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
20/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
21/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
22/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
23/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
24/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
25/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
26/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
27/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
28/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
29/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
30/06/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jun
01/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
02/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
03/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
04/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
05/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
06/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
07/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
08/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
09/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
10/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
11/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
12/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
13/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
14/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
15/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
16/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
17/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
18/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
19/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
20/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
21/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
22/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
23/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
24/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
25/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
26/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
27/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
28/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
29/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
30/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
31/07/2021,Total,82 to 100,Dose 3 and Booster,100,1,Jul
01/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
02/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
03/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
04/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
05/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
06/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
07/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
08/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
09/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
10/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
11/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
12/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
13/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
14/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
15/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
16/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
17/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
18/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
19/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
20/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
21/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
22/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
23/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
24/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
25/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
26/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
27/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
28/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
29/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
30/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
31/08/2021,Total,82 to 100,Dose 3 and Booster,100,1,Aug
01/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
02/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
03/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
04/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
05/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
06/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
07/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
08/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
09/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
10/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
11/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
12/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
13/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
14/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
15/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
16/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
17/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
18/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
19/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
20/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
21/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
22/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
23/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
24/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
25/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
26/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
27/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
28/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
29/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
30/09/2021,Total,82 to 100,Dose 3 and Booster,100,1,Sep
01/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
02/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
03/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
04/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
05/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
06/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
07/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
08/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
09/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
10/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
11/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
12/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
13/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
14/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
15/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
16/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
17/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
18/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
19/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
20/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
21/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
22/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
23/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
24/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
25/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
26/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
27/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
28/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
29/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
30/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
31/10/2021,Total,82 to 100,Dose 3 and Booster,100,1,Oct
01/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
02/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
03/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
04/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
05/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
06/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
07/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
08/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
09/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
10/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
11/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
12/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
13/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
14/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
15/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
16/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
17/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
18/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
19/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
20/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
21/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
22/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
23/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
24/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
25/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
26/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
27/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
28/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
29/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
30/11/2021,Total,82 to 100,Dose 3 and Booster,100,1,Nov
01/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
02/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
03/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
04/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
05/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
06/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
07/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
08/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
09/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
10/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
11/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
12/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
13/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
14/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
15/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
16/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
17/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
18/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
19/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
20/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
21/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
22/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
23/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
24/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
25/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
26/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
27/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
28/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
29/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
30/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
31/12/2021,Total,82 to 100,Dose 3 and Booster,100,1,Dec
